C.SH,JENS.S,SEN.S,SAVAD.S,M.T.S,V.F.S,N.T.M,T.O,S.Z,M.O.B,OTO,MO,DO,ZABT,TV,PC,TEL.H,OJAGH.GAZ,JAROO.B,M.LEBAS,CHARKH.KH,PANKE,M.ZARF,H.KHORAKI.NOOSHIDANI,H.ERTEBATAT,H.BEHDASHT,H.HAMLONAGHL,H.KALA.MOT,H.MASKAN,H.MOBLEMAN,H.POOSHAK,KHARID.KALA.BADAVAM,H.SARMAYEGOZARI,DARAMAD.KHALES
1,2,40,1,1,1,4,3,40,0,0,0,0,0,1,0,1,1,1,0,0,1,0,17542745,200000,1000000,2500000,900000,10300000,3135000,0,14552500,0,550000
1,2,68,1,1,3,1,4,75,0,0,0,0,0,1,0,1,1,1,1,1,1,0,9840000,2500000,2400000,3030000,950000,19000000,860000,500000,33487500,0,237200000
1,1,38,1,6,1,1,4,88,0,0,1,0,0,1,1,1,1,1,1,0,1,0,2348000,720000,400000,0,460000,40680000,1450000,420000,13808333.33,0,6250000
1,2,91,1,6,3,1,4,86,0,0,0,0,0,1,0,1,0,1,1,0,1,0,15997000,500000,1100000,900000,770000,23300000,750000,0,5428333.333,416666.6667,101915000
1,2,48,1,4,3,1,4,90,0,1,0,0,0,1,1,1,1,1,1,1,1,0,16350000,1000000,0,1760000,250000,23500000,660000,2800000,25320833.33,0,89130000
1,2,85,2,0,3,6,4,75,3,0,0,0,0,1,0,0,1,1,1,0,1,0,9354000,1350000,1220000,0,1200000,35000000,1670000,2050000,8244583.333,0,101811666.7
1,2,69,1,2,3,1,5,115,0,0,0,0,0,1,0,1,1,1,1,0,1,0,9211000,950000,9100000,1350000,900000,40255000,510000,1500000,108575000,0,15642500
1,2,38,1,2,3,4,4,110,3,0,0,0,0,1,0,1,1,1,1,1,1,0,20210000,200000,300000,600000,1650000,26050000,0,0,17217449,0,28811666.67
1,2,81,2,0,3,1,4,90,3,0,0,0,1,1,0,1,1,1,1,1,1,0,22213000,1040000,1930000,900000,2300000,25340000,590000,13500000,27640416.67,1666666.667,91495000
1,2,59,1,4,3,1,5,106,0,1,0,0,0,1,1,1,1,1,1,1,1,1,15775000,1130000,7720000,600000,85000,31020000,435000,0,18199583.33,0,32728333.33
1,2,66,1,1,3,1,4,100,0,1,0,0,0,1,1,1,1,1,1,0,1,0,9050000,4000000,2500000,7780000,930000,25480000,2292500,450000,35731.33333,0,2050000
1,2,78,2,0,3,6,4,110,3,0,0,0,0,1,0,1,1,1,1,0,1,0,16035000,2000000,0,3950000,900000,26245000,140000,350000,8220833.333,0,75405000
1,1,63,1,4,3,1,4,112,0,1,0,0,0,1,1,1,1,1,1,1,1,0,12278000,400000,0,300000,1550000,26500000,2165000,0,5938333.333,0,41821666.67
1,1,52,1,4,1,1,5,112,0,1,0,0,0,1,1,1,1,1,1,1,1,0,8279910,620000,1800000,1200000,1700000,38500000,3000000,1600000,7432083.333,0,139812500.7
1,1,35,1,4,1,3,4,90,0,1,0,1,0,1,0,1,1,1,1,1,1,0,9532500,1850000,600000,3400000,1400000,22670000,1599000,6700000,9004166.667,0,30102500
1,1,77,1,1,3,1,4,80,3,0,0,1,0,1,0,1,1,1,1,0,1,0,19775965,920000,2900000,950000,1170000,19300000,1290000,800000,13162291.67,0,48476000
1,2,78,1,1,3,3,5,150,0,0,0,1,0,1,0,1,1,1,1,0,1,0,11208000,1350000,500000,4350000,830000,18354000,240000,5500000,12776666.67,0,90816667.33
1,2,81,2,0,3,1,4,90,3,0,0,0,0,1,0,1,1,1,0,1,1,0,17155000,570000,0,3200000,670000,15000000,2635000,150000,33740000,0,103250000
1,1,62,1,1,3,1,4,70,0,1,0,0,0,1,0,1,1,1,1,1,1,0,8912900,1250000,14220000,1050000,0,17610000,350000,0,6432416.667,0,5808333.333
1,2,72,2,0,3,6,4,75,0,0,0,0,0,1,0,1,1,1,1,0,1,0,11510000,550000,0,1830000,1500000,23100000,810000,0,7222000,0,71045833.33
1,2,54,1,2,3,1,3,80,3,1,0,0,0,1,0,1,1,1,1,0,0,0,16327500,1000000,180000,900000,870000,31620000,1215000,0,2597763.667,0,57700000
1,1,71,1,1,3,1,5,120,3,0,0,0,0,1,0,1,1,1,1,1,1,0,27450500,2200000,14800000,3700000,0,25070000,2670000,270000,3600000,0,33130000
1,1,40,1,1,1,3,3,55,3,0,0,0,0,1,0,1,1,1,1,1,1,0,38970000,700000,1500000,6550000,200000,15850000,2361000,5600000,12701000,0,45000000
1,1,54,1,6,1,1,4,90,0,1,0,0,0,1,0,1,1,1,1,1,1,0,18375000,770000,1000000,1700000,1955000,26480000,0,1600000,18494166.67,0,3178333.333
1,1,56,1,4,1,1,4,90,0,1,0,1,0,1,1,1,1,1,1,0,0,1,21515000,250000,5950000,1900000,800000,32530000,2130000,200000,22620833.33,0,101388889
1,1,56,1,1,1,1,4,90,0,0,0,0,0,1,0,1,1,1,1,0,1,0,16642900,600000,14400000,1750000,1270000,15920000,1090000,350000,423333.3333,0,103796666.7
1,1,75,1,4,3,1,5,95,0,0,0,0,0,1,0,1,1,1,1,1,1,0,10338605,1010000,0,2400000,1900000,23590000,600000,0,1389898,0,46875000
1,1,43,1,6,1,1,4,90,0,1,0,0,0,1,1,1,1,1,1,1,1,0,8934000,2000000,2400000,0,520000,51370000,16701000,0,89166.66667,0,4950000
1,1,51,1,2,1,1,4,84,0,1,0,0,0,1,1,1,1,1,0,0,1,0,21014500,1250000,0,0,1525000,40944000,470000,0,6779500,0,103950000
1,1,55,1,5,3,1,5,98,0,1,0,0,0,1,1,1,1,1,1,1,1,1,28271000,670000,10900000,1800000,2465000,30800000,2000000,0,16739650,0,0
1,1,34,1,4,1,1,4,75,0,0,0,0,0,1,1,1,1,1,1,1,1,0,2525982,1300000,330000,750000,850000,4085000,12641000,350000,2505000,0,169500000
1,2,53,1,2,3,1,4,90,0,1,0,0,0,1,0,1,1,1,1,0,1,0,9415000,700000,5600000,9500000,120000,24790000,920000,0,9711250,0,71916666.67
1,2,60,1,3,3,6,4,65,0,0,0,0,0,1,0,1,1,1,1,0,1,0,18178000,250000,6400000,1200000,2760000,20785000,1211000,250000,622500,0,54997500
1,2,39,1,4,5,4,5,130,3,1,0,0,0,1,0,1,1,1,1,1,0,0,12425000,9700000,0,50000,300000,65000000,350000,0,2003333.333,0,45276600
1,1,83,1,1,3,1,4,87,3,1,0,0,0,1,0,1,1,1,1,1,1,0,40858000,100000,100000,9000000,580000,26280000,1340000,0,13191333.33,0,79713333.33
1,1,55,1,2,1,1,4,85,3,0,0,0,0,1,0,1,1,1,1,1,1,0,26933000,550000,300000,2000000,9560000,13955000,2050000,0,14783333.33,0,140416666.7
1,1,67,1,1,3,6,4,100,3,0,0,0,0,1,0,1,1,1,0,1,1,0,17450000,168000,1950000,1350000,2220000,20280000,960000,200000,17558333.33,0,62410000
1,1,44,1,4,1,4,3,50,0,0,0,0,0,1,0,1,1,0,0,0,1,0,15210000,100000,0,1140000,600000,21100000,2230000,0,22087333.33,0,42100000
1,2,58,1,1,3,1,4,100,0,1,0,0,0,1,0,1,1,1,1,1,1,0,9320000,1850000,0,5500000,2250000,13920000,200000,3960000,231666.6667,0,53012500
1,2,56,1,1,3,1,4,120,0,0,0,0,0,1,1,1,1,1,1,0,1,0,6577000,2000000,6200000,675000,250000,14700000,0,500000,662500,0,99405000
1,1,73,1,1,3,1,6,100,3,1,0,0,0,0,0,1,1,1,1,0,1,0,2312000,2020000,1800000,1350000,630000,18100000,2490000,12300000,12085000,0,6965000
1,2,73,2,0,3,1,4,80,3,0,0,0,0,1,0,1,1,1,1,1,1,0,25500000,1500000,1600000,0,6270000,14750000,1000000,1895000,11285000,0,216275000
1,2,62,1,1,3,1,4,86,3,0,0,0,0,1,0,1,1,1,1,1,1,0,14150000,870000,350000,300000,650000,15000000,645000,14460000,3570833.333,0,25280833.33
1,2,71,1,1,3,1,4,75,3,0,0,0,0,1,0,1,1,1,1,0,0,0,6860000,250000,7200000,900000,650000,18820000,1750000,0,3333333.333,0,66246666.67
1,2,45,1,4,3,3,4,73,0,0,0,1,0,1,0,1,1,1,1,0,0,0,14010000,1750000,3150000,7200000,950000,9640000,3457000,0,23900000,0,114153000
1,1,42,1,4,1,3,4,82,0,1,0,0,0,1,0,1,1,1,0,1,0,0,20938000,540000,0,1200000,3000000,21003000,1170000,0,2911666.667,0,114261666.7
1,1,73,1,1,3,1,4,86,3,0,0,0,0,1,0,1,1,1,1,0,1,0,9004000,970000,2500000,500000,420000,15940000,1730000,500000,9575000,1666666.667,33600000
1,1,72,1,1,1,1,5,130,3,0,0,0,0,1,0,1,1,1,0,1,1,0,23787000,165000,300000,650000,1000000,17780000,880000,350000,4792500,0,69173333.33
1,1,66,1,4,3,1,5,100,0,0,0,0,0,1,0,1,1,1,1,1,1,0,40275000,365000,500000,3000000,1305000,25080000,595000,0,6723333.333,0,76380000
1,1,69,1,4,3,1,4,75,0,1,0,0,0,1,0,1,1,1,1,0,1,0,15425000,200000,300000,500000,1170000,28045000,340000,10750000,15426666.67,0,2261666.667
